RUN_TIMESTAMP,MODE,AUDIT_RUN_ID,CSV_ROW,PART_NUMBER,REVISION,TARGET_IDENTIFIER,CSV_COLUMN,LOGICAL_ATTRIBUTE,CATEGORY,NX_ATTRIBUTE_NAME,NX_ATTRIBUTE_TYPE,BASELINE_VALUE,ACTUAL_CURRENT_VALUE,EXPECTED_VALUE,APPROVED,ENGINEER,ACTION,CHECKOUT_BEFORE,CHECKOUT_ACTION,CHECKOUT_RESULT,READ_ONLY_BEFORE,READ_ONLY_AFTER,WRITE_ATTEMPTED,ROLLBACK_RESULT,REREAD_VALUE,VERIFICATION_RESULT,SAVE_RESULT,NX_EXCEPTION_TYPE,NX_ERROR_CODE,MESSAGE
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,2,264MN034466A01,A,@DB/264MN034466A01/A,WAE_VERSION,wae_version,WAEItem,WAE_VERSION,String,,,2,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,2,264MN034466A01,A,@DB/264MN034466A01/A,Hazardous,hazardous,WAEItem,WAE_Hazardous,String,,,N,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,2,264MN034466A01,A,@DB/264MN034466A01/A,Commodity_Code,commodity_code,WAEItem,Commodity_Code,String,,,TBC,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,3,264MN034453A01,A,@DB/264MN034453A01/A,Reference Notes,stocking_type,WAEItem,Stocking_Type,String,REF,,BUY/REF,YES,AQIL,ERROR_VALUE,,,,,,NO,,,,,,,Expected value is outside the controlled value set.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,3,264MN034453A01,A,@DB/264MN034453A01/A,WAE_VERSION,wae_version,WAEItem,WAE_VERSION,String,,,1,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,3,264MN034453A01,A,@DB/264MN034453A01/A,NX_FINISH,finish,WAEItem,NX_FINISH,String,,,N/A,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,3,264MN034453A01,A,@DB/264MN034453A01/A,COMPONENT_CLASS,component_class,WAEItem,COMPONENT_CLASS,String,TBC,TBC,C,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,3,264MN034453A01,A,@DB/264MN034453A01/A,LIFED,shelf_life_limited,WAEItem,LIFED,String,TBC,TBC,N,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,3,264MN034453A01,A,@DB/264MN034453A01/A,Hazardous,hazardous,WAEItem,WAE_Hazardous,String,,,N,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
2026-08-05T16:07:32,APPLY_APPROVED,DB_264MN034466A01_A_20260805_143028,4,264MN034470A01,A,@DB/264MN034470A01/A,WAE_VERSION,wae_version,WAEItem,WAE_VERSION,String,,,2,YES,AQIL,BATCH_ABORTED_PREFLIGHT,NOT_CHECKED_OUT,,,False,,NO,,,,NOT_ATTEMPTED,,,An approved row failed preflight; no checkout occurred.
