RUN_TIMESTAMP,MODE,CSV_ROW,PART_NUMBER,REVISION,DWG_INDEX,DRAWING_IDENTIFIER,DRAWING_FILE,BASELINE_SHA256,PREFLIGHT_SHA256,CHANGED_FROM_BASELINE,APPROVED,ENGINEER,DEFAULT_IMPORT_ACTION,DRAWING_IMPORT_ACTION,CLONE_PREFLIGHT,CLONE_LOG_STATUS,TARGET_RESERVATION_STATUS,POST_IMPORT_VERIFICATION,WRITE_ATTEMPTED,RESULT,MESSAGE,CLONE_LOG,CLONE_LOG_EVIDENCE
20260729_104208,APPLY_APPROVED,24,264MN025695A01,A,1,@DB/264MN025695A01/A/specification/264MN025695A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025695A01_A_s_264MN025695A01-A-dwg1.prt,,51581ec7c9661f171f147bd678ed68187be323029df6960f39e5e24b1d4889e8,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025695A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,25,264MN025696A01,A,1,@DB/264MN025696A01/A/specification/264MN025696A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025696A01_A_s_264MN025696A01-A-dwg1.prt,,4802d4181c514ff4da16c4a7762f105985e8c5ca882ccd473c86b63a1c1fb0c6,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025696A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,26,264MN025697A01,A,1,@DB/264MN025697A01/A/specification/264MN025697A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025697A01_A_s_264MN025697A01-A-dwg1.prt,,32f156703ca05f42c4cdbc0bd36a4f3a4738054fce35c0e3d4083a77e6360006,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025697A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,27,264MN025698A01,A,1,@DB/264MN025698A01/A/specification/264MN025698A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025698A01_A_s_264MN025698A01-A-dwg1.prt,,aaf03de1cff81f598ef77b48a474900fd5c071d2ebce9008f41609cd24eacc85,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025698A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,28,264MN025699A01,A,1,@DB/264MN025699A01/A/specification/264MN025699A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025699A01_A_s_264MN025699A01-A-dwg1.prt,,3507a14d0946acb5b110a26291438d8bb5193515146b757d333673c3e4e05ba2,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025699A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,29,264MN025715A01,A,1,@DB/264MN025715A01/A/specification/264MN025715A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025715A01_A_s_264MN025715A01-A-dwg1.prt,,b81f0916ac1dbd05ac07b27c0861043cdbebde8ffd0841f15b97cfa154be4768,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025715A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,30,264MN025716A01,A,1,@DB/264MN025716A01/A/specification/264MN025716A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025716A01_A_s_264MN025716A01-A-dwg1.prt,,a13dbb5eedb59ae4f84247c3bcc06cfd1f5d1ee9abff2fe10867985cff1410de,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025716A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,31,264MN025717A01,A,1,@DB/264MN025717A01/A/specification/264MN025717A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN025717A01_A_s_264MN025717A01-A-dwg1.prt,,0bb3fd0fa41b2a873c6ca0f81d7f4bcf8278916ce01aa79afde475741df6f4f7,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN025717A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,32,264MN026061A01,A,1,@DB/264MN026061A01/A/specification/264MN026061A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN026061A01_A_s_264MN026061A01-A-dwg1.prt,,52de4ec5bfebee724ef7260af8092d408156554203362e4d2ab6bb46c796a833,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN026061A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,33,264MN026085A01,A,1,@DB/264MN026085A01/A/specification/264MN026085A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN026085A01_A_s_264MN026085A01-A-dwg1.prt,,c8a5fbd21bba96de76c2058d14a6635b11d2f31f1b8f12d571a331113d284c13,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN026085A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,34,264MN026086A01,A,1,@DB/264MN026086A01/A/specification/264MN026086A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN026086A01_A_s_264MN026086A01-A-dwg1.prt,,97dfd82e6322681d1621e017aaa1f32fa8d1f830d0110743c639f72a8e2e050a,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN026086A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,35,264MN026247A01,A,1,@DB/264MN026247A01/A/specification/264MN026247A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN026247A01_A_s_264MN026247A01-A-dwg1.prt,,63eaca73f4a360cd8f22c36f089837ed03c8e84ee240ff6e0b6b2d9b6aabf6af,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN026247A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,36,264MN028282A01,A,1,@DB/264MN028282A01/A/specification/264MN028282A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN028282A01_A_s_264MN028282A01-A-dwg1.prt,,420405b83749ef51aa25e38da95a32bddb33ba87a739db9547b1c350588a10a9,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN028282A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,37,264MN030047A01,A,1,@DB/264MN030047A01/A/specification/264MN030047A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN030047A01_A_s_264MN030047A01-A-dwg1.prt,,7eef4eef61819e095b74ad24546d9f147afec1e50bded204cec2e5ff6ac2aec9,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN030047A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,38,264MN030208A01,A,1,@DB/264MN030208A01/A/specification/264MN030208A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN030208A01_A_s_264MN030208A01-A-dwg1.prt,,a2d2dbad7d9068e13c8a8bca369cc8fefd3d62d11c94b65922b1dfffd9f85908,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN030208A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,39,264MN030210A01,A,2,@DB/264MN030210A01/A/specification/264MN030210A01-A-dwg2,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN030210A01_A_s_264MN030210A01-A-dwg2.prt,,6865685bcda85c414cd9abaa323cc2646a655527460b712525050750c5610366,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN030210A01_A_DWG2.clone,
20260729_104208,APPLY_APPROVED,40,264MN031987A01,A,1,@DB/264MN031987A01/A/specification/264MN031987A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN031987A01_A_s_264MN031987A01-A-dwg1.prt,,c7bd75bd263a8caff05aaad73fae7a7a71d52f198b626dd6ed18335d98937eda,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN031987A01_A_DWG1.clone,
20260729_104208,APPLY_APPROVED,41,264MN032276A01,A,1,@DB/264MN032276A01/A/specification/264MN032276A01-A-dwg1,C:\Users\my62022696\Desktop\TEST_IMPORT\264MN032276A01_A_s_264MN032276A01-A-dwg1.prt,,0947ec68b0959f39294db742afbc16e3d1b4ffbe07a00df4e13ec57fd80765b1,UNKNOWN,YES,AQIL,UseExisting,Overwrite,PASS,PREFLIGHT_CLEAR,NO_TARGET_BLOCKER_IN_CLONE_LOG,PREFLIGHT_ONLY,NO,BATCH_STOPPED_AFTER_UNVERIFIED_WRITE,A previous write returned without verified target persistence. No write was attempted for this row.,C:\Users\my62022696\Desktop\TEST_IMPORT\J16_PREFLIGHT_APPLY_APPROVED_264MN032276A01_A_DWG1.clone,
