RUN_TIMESTAMP,MODE,CSV_ROW,PART_NUMBER,REVISION,DWG_INDEX,DRAWING_IDENTIFIER,DRAWING_FILE,BASELINE_SHA256,PREFLIGHT_SHA256,CHANGED_FROM_BASELINE,APPROVED,ENGINEER,DEFAULT_IMPORT_ACTION,DRAWING_IMPORT_ACTION,OPENED_IDENTIFIER,CHECKOUT_STATE,CHECKOUT_OWNER,CHECKOUT_RAW,RELATION_TYPE,BASELINE_EXPORT_PDI_CODE,BASELINE_EXPORT_FILE,TC_BASELINE_SHA256,CLONE_PREFLIGHT,CHECKOUT_RECHECK_STATE,CHECKOUT_RECHECK_OWNER,PREWRITE_EXPORT_PDI_CODE,PREWRITE_EXPORT_FILE,PREWRITE_TC_SHA256,POST_IMPORT_EXPORT_PDI_CODE,POST_IMPORT_EXPORT_FILE,POST_IMPORT_TC_SHA256,POST_IMPORT_VERIFICATION,WRITE_ATTEMPTED,RESULT,MESSAGE,CLONE_LOG
20260731_154121,APPLY_APPROVED,2,264MN028532A01,A,1,@DB/264MN028532A01/A/specification/264MN028532A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN028532A01_A_s_264MN028532A01-A-dwg1.prt,,b1f38874488c96a73cda02055dde1781b2f694dfa12a99df66d99c45a4d525e7,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN028532A01/A/specification/264MN028532A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,3,264MN028483A01,A,1,@DB/264MN028483A01/A/specification/264MN028483A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN028483A01_A_s_264MN028483A01-A-dwg1.prt,,a4037fb0f91c901bad2453f3e69c85696386962a5d6a99d8859d498f78feefb5,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN028483A01/A/specification/264MN028483A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,4,264MN028480A01,A,1,@DB/264MN028480A01/A/specification/264MN028480A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN028480A01_A_s_264MN028480A01-A-dwg1.prt,,18b743a83c812ae2780450fdff5b50bc8ed4e2ede1a34fe5208808f35343e7a2,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN028480A01/A/specification/264MN028480A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,5,264MN026288A01,A,1,@DB/264MN026288A01/A/specification/264MN026288A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026288A01_A_s_264MN026288A01-A-dwg1.prt,,9091a2307df794d30bbd8dbe0d7568ad2dcd83da1037c82588f8735b604cbeed,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026288A01/A/specification/264MN026288A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,6,264MN026208A01,A,1,@DB/264MN026208A01/A/specification/264MN026208A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026208A01_A_s_264MN026208A01-A-dwg1.prt,,0eb05cb69305d885397b708b64aa83323a661648f50acb5f7ea46a78ec909b13,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026208A01/A/specification/264MN026208A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,7,264MN026207A01,A,1,@DB/264MN026207A01/A/specification/264MN026207A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026207A01_A_s_264MN026207A01-A-dwg1.prt,,5c1e3507e72e466b6d56a1633b1bf13c40a9fde84aa411916fedaed1a86dac47,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026207A01/A/specification/264MN026207A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,8,264MN026206A01,A,1,@DB/264MN026206A01/A/specification/264MN026206A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026206A01_A_s_264MN026206A01-A-dwg1.prt,,9fc7f992381f095e5e58492e05e2521159555224e7825d390137b95d77b74120,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026206A01/A/specification/264MN026206A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,9,264MN026202A01,A,1,@DB/264MN026202A01/A/specification/264MN026202A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026202A01_A_s_264MN026202A01-A-dwg1.prt,,83a2b9104b31b363c537ba5d16103e8aa25ef9c5ba5168bc79583a9b30466845,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026202A01/A/specification/264MN026202A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,10,264MN026183A01,A,1,@DB/264MN026183A01/A/specification/264MN026183A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026183A01_A_s_264MN026183A01-A-dwg1.prt,,5c91f8a418a4dfc79c53c8fedc7d9fa9d9cf0a0f435a9023803d672c053b3d44,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026183A01/A/specification/264MN026183A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,11,264MN026154A01,A,1,@DB/264MN026154A01/A/specification/264MN026154A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN026154A01_A_s_264MN026154A01-A-dwg1.prt,,f29101c7f59271a3446bb9cf6285c86b104c7ea0078df633822f84763d1e03b9,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN026154A01/A/specification/264MN026154A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,12,264MN025296A01,A,1,@DB/264MN025296A01/A/specification/264MN025296A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN025296A01_A_s_264MN025296A01-A-dwg1.prt,,b14cea96e239d023e66ddb2b6671846af74d1c8830d7f5f37af8c5e9a2a2e2a2,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN025296A01/A/specification/264MN025296A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,13,264MN025203A01,A,1,@DB/264MN025203A01/A/specification/264MN025203A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN025203A01_A_s_264MN025203A01-A-dwg1.prt,,9e2e4c48183597a76b937d243e7ea96d33dcbbd3a60dace5f9465398fc3dd69d,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN025203A01/A/specification/264MN025203A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,14,264MN024660A01,A,1,@DB/264MN024660A01/A/specification/264MN024660A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN024660A01_A_s_264MN024660A01-A-dwg1.prt,,b8edd7cf5e691d12da9ca4f88d03de6ac518bb3702742d065b22e0a259be6f8b,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN024660A01/A/specification/264MN024660A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,15,264MN024659A01,A,1,@DB/264MN024659A01/A/specification/264MN024659A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN024659A01_A_s_264MN024659A01-A-dwg1.prt,,d8ef1caf9eb6e29266533e10f266e729fec47af910020cb0a665a7307d70acb8,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN024659A01/A/specification/264MN024659A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,16,264MN024658A01,A,1,@DB/264MN024658A01/A/specification/264MN024658A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN024658A01_A_s_264MN024658A01-A-dwg1.prt,,f86d6784932b048cbd6e807178490c9b52e80d5945e7487ac7e6602a8c80c96d,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN024658A01/A/specification/264MN024658A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,17,264MN024656A01,A,1,@DB/264MN024656A01/A/specification/264MN024656A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN024656A01_A_s_264MN024656A01-A-dwg1.prt,,8449d1476d5a81b503e4fbc3b7ecd1de6607854cf6ac5c381ae4483e2262ce9b,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN024656A01/A/specification/264MN024656A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,18,264MN024655A01,A,1,@DB/264MN024655A01/A/specification/264MN024655A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN024655A01_A_s_264MN024655A01-A-dwg1.prt,,f2ceaaa9f8498c144fac0f297fb08765830e95d6c90aabd399e69c3f6c71f810,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN024655A01/A/specification/264MN024655A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
20260731_154121,APPLY_APPROVED,19,264MN024654A01,A,1,@DB/264MN024654A01/A/specification/264MN024654A01-A-dwg1,C:\Users\my62022696\Desktop\TO- AQIL-CIB DRAWINGS-29.7.26\264MN024654A01_A_s_264MN024654A01-A-dwg1.prt,,ed7df6e88203f0251ab5cce526c4f28f4d5ced433d916549cb8b5eb4699222d1,UNKNOWN,YES,AQIL,UseExisting,Overwrite,@DB/264MN024654A01/A/specification/264MN024654A01-A-dwg1,CHECKED_IN,,"(False, '')",,0,,,NOT_RUN,NOT_RUN,,,,,,,,NOT_RUN,NO,FAILED_TARGET_BASELINE_EXPORT,Could not export and fingerprint the exact Teamcenter drawing before clone preflight. | RuntimeError - Could not export the exact UGPART specification. Attempts: has specification: RuntimeError - Export returned no native .prt file for the target. || specification: NXException:920002 - Error - object does not exist. || IMAN_specification: NXException:920002 - Error - object does not exist.,
