AUDIT_RUN_ID,APPROVED,ENGINEER,APPROVAL_NOTE,PULL_STATUS,PULL_MESSAGE,Item Number,Part Description,Item Rev,UOM,Mfr. Name,Mfr. Part Number,Reference Notes,WAE_VERSION,NX_FINISH,COMPONENT_CLASS,LIFED,SERIAL_NUMBERED_PART,Temperature_Sensitive,Hazardous,COMMODITYTYPE,Commodity_Code,Serviceable_item_flag,Export_Control_Number,Country_of_Origin
DB_264MN024860A01_A_20260727_134352,YES,AQIL,,READY,,264MN024860A01,PRT-DCDC-FRAMEREARHOLDER,A,ea,FABRICATOR,264MN024860A01,BUY,2,DIELECTRIC GREASE,,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
DB_264MN024860A01_A_20260727_134352,YES,AQIL,,READY,,264MN030215A01,M6 PRESS INSERTS - L9.5,A,ea,MCMASTER,94459A210,REF,1,N/A,C,N,BATCH,TBC,N,TBC,TBC,TBC,TBC,TBC
